iter	Passed	Remaining
0	1	729
1	2	663
2	3	630
3	4	611
4	6	598
5	7	593
6	8	586
7	9	581
8	10	547
9	11	551
10	12	557
11	13	559
12	14	559
13	16	560
14	17	559
15	18	559
16	19	558
17	20	557
18	21	556
19	23	553
20	24	553
21	25	552
22	26	553
23	27	553
24	29	552
25	30	551
26	31	550
27	32	548
28	33	547
29	34	546
30	35	544
31	37	542
32	38	538
33	39	537
34	40	537
35	41	537
36	42	537
37	44	535
38	45	534
39	46	535
40	47	533
41	48	532
42	49	526
43	50	525
44	51	524
45	52	522
46	54	521
47	55	519
48	56	518
49	57	517
50	58	516
51	59	514
52	60	512
53	61	511
54	63	509
55	64	508
56	65	507
57	66	505
58	67	504
59	68	503
60	69	502
61	70	501
62	72	501
63	73	500
64	74	499
65	75	498
66	77	497
67	78	497
68	79	496
69	80	495
70	81	494
71	82	492
72	83	490
73	85	489
74	86	488
75	87	488
76	88	487
77	89	486
78	91	485
79	92	484
80	93	483
81	94	482
82	95	481
83	97	481
84	98	480
85	99	480
86	100	479
87	102	478
88	103	477
89	104	476
90	105	474
91	106	474
92	108	473
93	109	472
94	110	471
95	111	470
96	112	469
97	114	467
98	115	466
99	116	465
100	117	464
101	118	463
102	119	461
103	121	460
104	122	459
105	123	458
106	124	457
107	125	456
108	126	455
109	128	454
110	129	453
111	130	452
112	131	451
113	133	450
114	134	449
115	135	448
116	136	448
117	138	447
118	139	446
119	140	445
120	141	444
121	142	442
122	144	441
123	145	440
124	146	438
125	147	438
126	148	436
127	149	435
128	151	434
129	152	433
130	153	432
131	154	431
132	155	429
133	156	428
134	157	427
135	159	425
136	160	424
137	161	423
138	162	422
139	163	421
140	164	420
141	166	419
142	167	417
143	168	416
144	169	415
145	171	414
146	172	413
147	173	412
148	174	411
149	175	410
150	177	409
151	178	407
152	179	406
153	180	405
154	181	404
155	182	403
156	184	402
157	185	400
158	186	399
159	187	398
160	188	397
161	189	395
162	190	394
163	192	393
164	193	392
165	194	390
166	195	389
167	196	388
168	197	387
169	199	386
170	200	385
171	201	384
172	202	383
173	203	381
174	204	380
175	206	379
176	207	378
177	208	377
178	209	375
179	210	374
180	212	373
181	213	372
182	214	371
183	215	370
184	217	369
185	218	369
186	220	368
187	221	367
188	222	366
189	224	365
190	225	364
191	226	364
192	228	363
193	229	362
194	230	361
195	232	360
196	233	359
197	235	358
198	236	357
199	237	356
200	239	356
201	240	355
202	242	354
203	243	353
204	244	352
205	246	351
206	247	350
207	249	349
208	250	348
209	251	347
210	253	346
211	254	345
212	255	344
213	257	343
214	258	342
215	259	341
216	261	340
217	262	339
218	263	338
219	265	337
220	266	336
221	267	335
222	269	334
223	270	333
224	271	332
225	273	331
226	274	330
227	275	329
228	277	328
229	278	326
230	279	326
231	281	324
232	282	324
233	284	323
234	285	322
235	286	320
236	288	319
237	289	318
238	291	317
239	292	316
240	293	315
241	294	314
242	296	313
243	297	312
244	298	310
245	300	309
246	301	308
247	302	307
248	304	306
249	305	305
250	307	304
251	308	303
252	309	302
253	311	301
254	312	300
255	313	298
256	315	297
257	316	296
258	317	295
259	319	294
260	320	293
261	322	292
262	323	291
263	325	290
264	326	289
265	327	288
266	329	287
267	330	285
268	331	284
269	333	283
270	334	282
271	336	281
272	337	280
273	338	279
274	340	278
275	341	277
276	342	275
277	344	274
278	345	273
279	346	272
280	348	271
281	349	270
282	350	269
283	352	267
284	353	266
285	354	265
286	356	264
287	357	263
288	358	262
289	360	260
290	361	259
291	363	258
292	364	257
293	366	256
294	368	255
295	369	254
296	370	253
297	371	252
298	373	251
299	374	249
300	376	248
301	377	247
302	379	246
303	380	245
304	382	244
305	383	243
306	384	241
307	386	240
308	387	239
309	388	238
310	390	237
311	391	235
312	393	234
313	394	233
314	396	232
315	397	231
316	398	230
317	400	229
318	401	227
319	403	226
320	404	225
321	406	224
322	407	223
323	409	222
324	410	221
325	411	219
326	413	218
327	414	217
328	415	216
329	417	214
330	418	213
331	419	212
332	421	211
333	422	209
334	423	208
335	425	207
336	426	206
337	428	205
338	429	203
339	430	202
340	432	201
341	433	200
342	434	199
343	436	197
344	437	196
345	438	195
346	440	194
347	441	192
348	442	191
349	444	190
350	445	189
351	446	187
352	448	186
353	449	185
354	450	184
355	452	182
356	453	181
357	455	180
358	456	179
359	457	178
360	459	176
361	460	175
362	462	174
363	463	173
364	464	171
365	465	170
366	467	169
367	468	168
368	470	166
369	471	165
370	472	164
371	474	163
372	475	161
373	476	160
374	478	159
375	479	158
376	481	156
377	482	155
378	483	154
379	485	153
380	486	152
381	488	150
382	489	149
383	491	148
384	492	147
385	493	145
